Healing Angel	1
War Dog	2
Purehearted Singer	3
Fire Lizard	4
Dread Dragon	5
Bahamut	6
Sage Commander	7
Sea Queen Otohime	8
Aurelia, Regal Saber	9
Courageous Knight	10
Oathless Knight	11
Rune Blade Summoner	16
Chimera	5
Ambling Wraith	17
Cursebrand Vampire	18
Blood Wolf	19
Dark General	20
Spiderweb Imp	22
Temptress Vampire	23
Righteous Devil	24
Maid Leader	25
Tsubaki	26
Princess Vanguard	27
Damon Eater	29
SkeltonFighter	30
Demonlord Eachtar	38
Rabbit Healer	1
Radiance Angel	40
Dwarf Alchemist	43
Mage of Nightfall	46
Halo Golem	47
Master Mage Levi	48
Magisa, Ruinfist Witch	49
Elf Child May	33
Fairy Whisperer	51
Rhinoceroach	52
Ancient Elf	53
Elf Metallurgist	55
Crystalia Tia	56
Dragoon Scyther	57
Sibyl of the Waterwyrm	59
Ouroboros	61
Grimnir, War Cyclone	64
Sahaquiel	65
Israfil	67
Ax Fighter	68
