Witch Snap	1
Forge Weaponry	2
Dance of Death	1
Magic Missile	3
Wind Blast	1
Fiery Embrace	1
Angelic Snipe	3
Kaleidoscopic Glow	5
Razory Claw	3
Diabolic Drain	1
Undying Resentment	1
Blackened Scripture	1
Nature's Guidance	6
Airbound Barrage	7
Sylvan Justice	1
Pixie Mischief	6
Blazing Breath	1
Breath of the Salamander	1
Lightning Blast	9
Seraphic Blade	9
Veridic Ritual	3
Soul Conversion	2
Unbridled Fury	1
Serpent Wrath	1
Call of the Void	1
Crimson Purge	1
Hallowed Dogma	11
Acolyte's Light	1
Dimension Cut	1
Enchanted Sword	2
Zombie Party	1
Mimi	3
Coco	2
